source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
bronze,sales_data,transaction_id,silver,sales_data,transaction_id,surrogate_key,generate_uuid
bronze,sales_data,transaction_date,silver,sales_data,transaction_date,standardize_date,convert_to_iso_yyyy-mm-dd
bronze,sales_data,store_id,silver,sales_data,store_id,null_handler,drop_nulls
bronze,sales_data,product_id,silver,sales_data,product_id,null_handler,drop_nulls
bronze,sales_data,product_name,silver,sales_data,product_name,null_handler,fill_unknown
bronze,sales_data,category,silver,sales_data,category,normalize_category,lowercase_trim
bronze,sales_data,quantity,silver,sales_data,quantity,null_handler,fill_median
bronze,sales_data,unit_price,silver,sales_data,unit_price,null_handler,fill_median
bronze,sales_data,total_amount,silver,sales_data,total_amount,null_handler,fill_median
bronze,sales_data,customer_segment,silver,sales_data,customer_segment,normalize_segment,map_loyal_active_new_unknown
bronze,sales_data,payment_method,silver,sales_data,payment_method,null_handler,fill_unknown
bronze,sales_data,_load_timestamp,silver,sales_data,_load_timestamp,null_handler,drop_nulls
bronze,sales_data,_source_file,silver,sales_data,_source_file,null_handler,drop_nulls
bronze,products,product_id,silver,products,product_id,surrogate_key,generate_uuid
bronze,products,product_name,silver,products,product_name,null_handler,fill_unknown
bronze,products,category,silver,products,category,normalize_category,lowercase_trim
bronze,products,standard_price,silver,products,standard_price,null_handler,fill_median
bronze,products,_load_timestamp,silver,products,_load_timestamp,null_handler,drop_nulls
bronze,products,_source_file,silver,products,_source_file,null_handler,drop_nulls
bronze,stores,store_id,silver,stores,store_id,surrogate_key,generate_uuid
bronze,stores,store_name,silver,stores,store_name,null_handler,fill_unknown
bronze,stores,region,silver,stores,region,normalize_category,lowercase_trim
bronze,stores,city,silver,stores,city,null_handler,fill_unknown
bronze,stores,state,silver,stores,state,null_handler,fill_unknown
bronze,stores,_load_timestamp,silver,stores,_load_timestamp,null_handler,drop_nulls
bronze,stores,_source_file,silver,stores,_source_file,null_handler,drop_nulls
bronze,sales_data,transaction_id,silver,sales_data,transaction_id,dedup,remove_duplicate_transactions
